[18:09:40] src/nnvm/legacy_json_util.cc:209: Loading symbol saved by previous version v0.8.0. Attempting to upgrade...
[18:09:40] src/nnvm/legacy_json_util.cc:217: Symbol successfully upgraded!
[18:09:40] src/io/iter_image_recordio_2.cc:172: ImageRecordIOParser2: ./caltech-256-10-train.rec, use 2 threads for decoding..
[18:09:44] src/io/iter_image_recordio_2.cc:172: ImageRecordIOParser2: ./caltech-256-10-val.rec, use 2 threads for decoding..
2019-12-17 18:09:50,639 Bind time 5.38852334022522 secs
2019-12-17 18:09:50,778 Init param time 0.1384270191192627 secs
2019-12-17 18:09:50,789 Init opt time 0.009694814682006836 secs
2019-12-17 18:09:50,789 Init metric time 0.000392913818359375 secs
[18:09:50] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:97: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
2019-12-17 18:10:12,010 Batch 0 compute time: 21.20982789993286 secs
2019-12-17 18:10:12,083 Batch 0 update time: 0.06814813613891602 secs
2019-12-17 18:10:12,114 Batch 0 update metric time 0.029964923858642578 secs
2019-12-17 18:10:12,116 Batch 0 prepare time 0.0016949176788330078 secs
2019-12-17 18:10:12,117 End Batch callbacks time 0.0006003379821777344 secs
2019-12-17 18:10:13,455 Batch 1 compute time: 1.3335638046264648 secs
2019-12-17 18:10:13,487 Batch 1 update time: 0.03221583366394043 secs
2019-12-17 18:10:13,491 Batch 1 update metric time 0.0035049915313720703 secs
2019-12-17 18:10:13,492 Batch 1 prepare time 0.00023365020751953125 secs
2019-12-17 18:10:13,492 End Batch callbacks time 0.00022125244140625 secs
2019-12-17 18:10:14,825 Batch 2 compute time: 1.330547571182251 secs
2019-12-17 18:10:14,857 Batch 2 update time: 0.03143715858459473 secs
2019-12-17 18:10:14,860 Batch 2 update metric time 0.0028319358825683594 secs
2019-12-17 18:10:14,861 Batch 2 prepare time 0.0002205371856689453 secs
2019-12-17 18:10:14,861 End Batch callbacks time 0.00011301040649414062 secs
2019-12-17 18:10:16,205 Batch 3 compute time: 1.342118740081787 secs
2019-12-17 18:10:16,242 Batch 3 update time: 0.03659248352050781 secs
2019-12-17 18:10:16,246 Batch 3 update metric time 0.0031464099884033203 secs
2019-12-17 18:10:16,247 Batch 3 prepare time 0.0009553432464599609 secs
2019-12-17 18:10:16,248 End Batch callbacks time 0.0001251697540283203 secs
2019-12-17 18:10:17,592 Batch 4 compute time: 1.342484474182129 secs
2019-12-17 18:10:17,636 Batch 4 update time: 0.043382883071899414 secs
2019-12-17 18:10:17,640 Batch 4 update metric time 0.003239154815673828 secs
2019-12-17 18:10:17,641 Batch 4 prepare time 0.00041413307189941406 secs
2019-12-17 18:10:17,641 End Batch callbacks time 0.0002143383026123047 secs
2019-12-17 18:10:18,980 Batch 5 compute time: 1.336655855178833 secs
2019-12-17 18:10:19,018 Batch 5 update time: 0.03717541694641113 secs
2019-12-17 18:10:19,021 Batch 5 update metric time 0.003049135208129883 secs
2019-12-17 18:10:19,023 Batch 5 prepare time 0.0008971691131591797 secs
2019-12-17 18:10:19,023 End Batch callbacks time 0.0001685619354248047 secs
2019-12-17 18:10:20,358 Batch 6 compute time: 1.333209753036499 secs
2019-12-17 18:10:20,395 Batch 6 update time: 0.03583073616027832 secs
2019-12-17 18:10:20,398 Batch 6 update metric time 0.002643585205078125 secs
2019-12-17 18:10:20,398 Batch 6 prepare time 0.00033283233642578125 secs
2019-12-17 18:10:20,399 End Batch callbacks time 0.00012254714965820312 secs
2019-12-17 18:10:21,753 Batch 7 compute time: 1.3528125286102295 secs
2019-12-17 18:10:21,788 Batch 7 update time: 0.03419041633605957 secs
2019-12-17 18:10:21,791 Batch 7 update metric time 0.002901315689086914 secs
2019-12-17 18:10:21,792 Batch 7 prepare time 0.0007123947143554688 secs
2019-12-17 18:10:21,793 End Batch callbacks time 0.00018262863159179688 secs
2019-12-17 18:10:23,135 Batch 8 compute time: 1.3393487930297852 secs
2019-12-17 18:10:23,163 Batch 8 update time: 0.02750849723815918 secs
2019-12-17 18:10:23,166 Batch 8 update metric time 0.002991199493408203 secs
2019-12-17 18:10:23,167 Batch 8 prepare time 0.00034499168395996094 secs
2019-12-17 18:10:23,168 End Batch callbacks time 0.0001823902130126953 secs
2019-12-17 18:10:24,506 Batch 9 compute time: 1.3360066413879395 secs
2019-12-17 18:10:24,545 Batch 9 update time: 0.0388026237487793 secs
2019-12-17 18:10:24,549 Batch 9 update metric time 0.003187894821166992 secs
2019-12-17 18:10:24,550 Batch 9 prepare time 0.0005872249603271484 secs
